user_id,preferred_categories,budget_range,trip_duration_days,past_places,rating_given
U0467,beach,medium,3,"Jaipur,Goa,Kerala",4
U0468,"religious,urban,wildlife",medium,4,"Ooty,Kerala",4
U0469,"urban,adventure",high,2,Mysore,5
U0470,"urban,religious",medium,7,Varanasi,3
U0471,"religious,food",medium,4,"Ooty,Kerala,Jaipur",5
U0472,beach,high,5,"Coorg,Jaipur,Goa",5
U0473,"religious,urban",medium,5,"Goa,Kerala",4
U0474,"wildlife,nature,food",medium,6,"Jaipur,Mysore",3
U0475,"hill_station,nature",low,7,"Mysore,Jaipur",5
U0476,"hill_station,wildlife",medium,3,"Ooty,Rishikesh,Coorg",4
U0477,"religious,nature",low,5,Darjeeling,5
U0478,"hill_station,nature,urban",high,2,"Rishikesh,Mysore,Ooty",4
U0479,heritage,low,3,"Rishikesh,Varanasi",3
U0480,"heritage,hill_station",medium,4,"Jaipur,Coorg,Goa",3
U0481,"religious,wildlife",low,6,Varanasi,3
U0482,adventure,high,5,"Rishikesh,Varanasi",4
U0483,beach,high,3,"Coorg,Goa,Darjeeling",5
U0484,beach,high,2,"Kerala,Darjeeling,Coorg",4
U0485,hill_station,medium,6,"Ooty,Jaipur,Manali",3
U0486,"religious,nature",high,6,"Mysore,Coorg,Rishikesh",5
U0487,food,medium,4,Jaipur,4
U0488,wildlife,low,7,Kerala,5
U0489,urban,low,2,"Goa,Rishikesh",5
U0490,"urban,beach",high,2,"Manali,Goa,Mysore",5
U0491,adventure,medium,5,Mysore,4
U0492,"heritage,wildlife",high,7,"Goa,Ooty,Rishikesh",5
U0493,urban,medium,6,"Jaipur,Rishikesh,Manali",5
U0494,"hill_station,religious,beach",low,5,Darjeeling,3
U0495,"urban,wildlife",medium,7,"Ooty,Jaipur",3
U0496,"nature,wildlife,food",medium,4,Goa,3
U0497,"hill_station,urban,adventure",high,7,"Jaipur,Manali",5
U0498,hill_station,medium,7,Varanasi,4
U0499,"nature,beach",low,3,Ooty,4
U0500,"food,adventure,urban",low,2,Goa,3
